,Name,metascore,userscore
343,Aidyn Chronicles: The First Mage,53.0,7.9
344,Aion,76.0,6.6
345,Air Conflicts: Aces of World War II,36.0,4.3
346,Air Conflicts: Secret Wars,59.0,6.6499999999999995
347,Air Conflicts: Vietnam,43.0,2.9
348,Air Conflicts: Vietnam Ultimate Edition,30.0,1.7
349,Air Race Speed,79.0,7.1
350,Air Raid: This Is Not a Drill!,39.0,6.5
351,Air Traffic Chaos,66.0,8.3
352,AirBlade,70.0,6.1
353,AirBuccaneers,74.0,6.6
354,AirForce Delta Storm,66.0,7.0
355,AirForce Delta Strike,66.0,7.0
356,AirMech Arena,73.0,6.8999999999999995
357,Airborne Assault: Conquest of the Aegean,78.0,6.9
358,Airborne Assault: Highway to the Reich,81.0,6.2
359,Airborne Assault: Red Devils Over Arnhem,82.0,7.3
360,Airborne Kingdom,76.0,7.099999999999999
361,Airborne Troops: Countdown to D-Day,39.0,7.2
362,Airfix Dogfighter,75.0,7.7
363,Airheart: Tales of Broken Wings,65.0,5.6
364,Airline Tycoon 2,57.0,5.3
365,Airport Tycoon 2,32.0,4.3
366,Airport Tycoon 3,46.0,4.6
367,Airscape: The Fall of Gravity,75.0,6.6
368,Akai Katana,75.0,8.2
369,Akane,74.5,8.4
370,Akaneiro: Demon Hunters,53.0,6.3
371,Akiba's Beat,55.0,6.5
372,Akiba's Trip: Hellbound & Debriefed,52.0,5.3
373,Akiba's Trip: Undead & Undressed,59.333333333333336,7.425
374,Akimi Village,69.0,3.6
375,Al Emmo and the Lost Dutchman's Mine,77.0,7.1
376,Alan Wake,83.0,8.1
377,Alan Wake Remastered,77.0,7.633333333333333
378,Alan Wake's American Nightmare,74.5,7.1
379,Alan Wake: The Signal,75.0,7.0
380,Alan Wake: The Writer,80.0,7.3
381,Alba: a Wildlife Adventure,79.0,8.2
382,Albedo: Eyes from Outer Space,58.666666666666664,4.35
383,Albert & Otto: The Adventure Begins,66.0,6.1499999999999995
384,Albion Online,72.0,5.3
385,Alchemic Jousts,65.0,6.3
386,Alder's Blood,63.0,7.9
387,Alekhine's Gun,36.333333333333336,3.6666666666666665
388,Alex Kidd in Miracle World DX,63.5,6.75
389,Alex Rider: Stormbreaker,42.5,4.4
390,Alexander,56.0,8.4
391,Alfred Hitchcock presents The Final Cut,50.0,6.6
392,Alfred Hitchcock: Vertigo,61.0,7.7
393,Alias,64.0,6.85
394,Alias (2004),55.0,6.8
395,Alice VR,55.0,7.3
396,Alice: Madness Returns,71.66666666666667,8.299999999999999
397,Alien Blast: The Encounter,41.0,3.9
398,Alien Breed,66.0,5.5
399,Alien Breed (PS Mobile),68.0,5.8
400,Alien Breed 2: Assault,66.33333333333333,5.266666666666667
401,Alien Breed 3: Descent,65.33333333333333,5.566666666666666
402,Alien Breed: Evolution,69.0,8.0
403,Alien Breed: Impact,67.5,6.15
404,Alien Chaos 3D,68.0,7.0
405,Alien Front Online,76.0,7.7
406,Alien Havoc,53.0,1.8
407,Alien Hominid,78.0,8.350000000000001
408,Alien Hominid HD,79.0,7.6
409,Alien Rage,49.0,7.233333333333333
410,Alien Resurrection,61.0,7.5
411,Alien Shooter: Vengeance,67.0,7.8
412,Alien Spidy,55.0,5.5
413,Alien Swarm,77.0,8.1
414,Alien Syndrome,49.5,6.85
415,Alien Zombie Death,76.0,5.6
416,Alien Zombie Megadeath,77.0,8.3
417,Alien: Isolation,79.33333333333333,8.360000000000001
418,Alienation,79.0,7.9
419,Alienators: Evolution Continues,54.0,8.4
420,Aliens Go Home Run,84.0,7.5
421,Aliens Versus Predator 2,85.0,8.7
422,Aliens Versus Predator 2: Primal Hunt Expansion Pack,55.0,7.3
